Timestamp,What platform do you currently use?,What platform do you prefer?,What type of games do you play?,What age group do you lie in?,Which region do you belong to?,What time do you usually play games at?,How long do you usually play everyday?,How much money do you usually spend on games per year?,How much have you spent on your gaming setup? (Not including games),Do you prefer minimalist or gamery aesthetics?
1/2/2020 7:25:08,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Competitive,19 to 25,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,PKR 1000,PKR 40000 to PKR 80000,Minimalist (Clean and Simple)
1/2/2020 7:02:39,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Casual,13 to 18,Punjab,Late Night (10 PM to 5 AM),1 to 3 Hours,PKR 10000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
12/18/2019 7:48:51,"PC (Windows, Linux, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,13 to 18,Punjab,Afternoon to Night (3 PM to 8 PM),1 to 3 Hours,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/2/2020 5:19:51,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,19 to 25,Punjab,Night (8 PM to 10 PM),Less than 1 Hour,PKR 5000,PKR 40000 to PKR 80000,Minimalist (Clean and Simple)
12/18/2019 10:00:11,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Casual,13 to 18,Punjab,Late Night (10 PM to 5 AM),5 to 8 Hours,More than PKR 20000,More than PKR 100000,Gamery (RGB and Aggressive Design)
12/18/2019 9:52:23,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Late Night (10 PM to 5 AM),Less than 1 Hour,PKR 10000,More than PKR 100000,Gamery (RGB and Aggressive Design)
12/18/2019 6:52:18,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Casual,19 to 25,Punjab,Late Night (10 PM to 5 AM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
12/18/2019 6:52:49,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,,Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
12/18/2019 6:58:18,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,13 to 18,Punjab,Night (8 PM to 10 PM),Less than 1 Hour,PKR 10000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
12/18/2019 7:36:32,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Competitive,19 to 25,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
12/18/2019 7:44:53,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/2/2020 5:19:55,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Late Night (10 PM to 5 AM),1 to 3 Hours,PKR 10000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/2/2020 5:20:09,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Afternoon to Night (3 PM to 8 PM),Less than 1 Hour,,,Minimalist (Clean and Simple)
1/2/2020 5:20:25,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Afternoon to Night (3 PM to 8 PM),3 to 5 Hours,PKR 10000,PKR 80000 to PKR 100000,Gamery (RGB and Aggressive Design)
1/2/2020 5:20:42,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,Less than PKR 1000,,Minimalist (Clean and Simple)
1/2/2020 5:21:03,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,19 to 25,Punjab,Afternoon to Night (3 PM to 8 PM),1 to 3 Hours,PKR 10000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/2/2020 5:22:13,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,19 to 25,Punjab,Afternoon to Night (3 PM to 8 PM),Less than 1 Hour,PKR 5000,PKR 40000 to PKR 80000,Gamery (RGB and Aggressive Design)
1/2/2020 5:22:19,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Casual,13 to 18,Punjab,Night (8 PM to 10 PM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/2/2020 5:22:27,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,13 to 18,Punjab,Night (8 PM to 10 PM),Less than 1 Hour,PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/2/2020 5:22:38,"PC (Windows, Linux, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,13 to 18,Punjab,Afternoon to Night (3 PM to 8 PM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/2/2020 5:23:14,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Late Night (10 PM to 5 AM),1 to 3 Hours,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/2/2020 5:23:17,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Casual,13 to 18,Punjab,Night (8 PM to 10 PM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/2/2020 5:24:12,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,13 to 18,Punjab,Afternoon to Night (3 PM to 8 PM),1 to 3 Hours,PKR 10000,PKR 40000 to PKR 80000,Gamery (RGB and Aggressive Design)
1/2/2020 5:25:21,"PC (Windows, Linux, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,13 to 18,Punjab,Afternoon to Night (3 PM to 8 PM),1 to 3 Hours,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/2/2020 5:27:26,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,13 to 18,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,Less than PKR 1000,PKR 40000 to PKR 80000,Gamery (RGB and Aggressive Design)
1/2/2020 5:27:37,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Casual,13 to 18,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/2/2020 5:30:43,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Late Night (10 PM to 5 AM),5 to 8 Hours,Less than PKR 1000,PKR 40000 to PKR 80000,Gamery (RGB and Aggressive Design)
1/2/2020 5:31:05,"PC (Windows, Linux, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,19 to 25,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,Less than PKR 1000,,Gamery (RGB and Aggressive Design)
1/2/2020 5:31:54,"PC (Windows, Linux, Other)","Console (Playstation, XBOX, Nintendo, Other)",Casual,19 to 25,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/2/2020 5:32:05,"PC (Windows, Linux, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,Above 50,Gilgit Baltistan,Morning (5 AM to 10 AM),More than 8 Hours,More than PKR 20000,More than PKR 100000,Gamery (RGB and Aggressive Design)
1/2/2020 5:35:41,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Afternoon to Night (3 PM to 8 PM),5 to 8 Hours,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/2/2020 5:36:10,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/2/2020 5:38:06,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,13 to 18,Punjab,Afternoon to Night (3 PM to 8 PM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/2/2020 5:43:12,"PC (Windows, Linux, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,19 to 25,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,PKR 20000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/2/2020 5:43:44,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/2/2020 5:43:56,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,13 to 18,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/2/2020 5:45:56,"PC (Windows, Linux, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,13 to 18,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,PKR 20000,PKR 40000 to PKR 80000,Gamery (RGB and Aggressive Design)
1/2/2020 5:48:11,"Console (Playstation, XBOX, Nintendo, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Late Night (10 PM to 5 AM),1 to 3 Hours,More than PKR 20000,Less than PKR 40000,Minimalist (Clean and Simple)
1/2/2020 5:50:41,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,13 to 18,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/2/2020 5:51:03,"PC (Windows, Linux, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,13 to 18,Punjab,,Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/2/2020 5:51:26,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Late Night (10 PM to 5 AM),1 to 3 Hours,PKR 10000,PKR 80000 to PKR 100000,Gamery (RGB and Aggressive Design)
1/2/2020 5:52:52,"PC (Windows, Linux, Other)","Console (Playstation, XBOX, Nintendo, Other)",Competitive,26 to 30,Punjab,Late Night (10 PM to 5 AM),1 to 3 Hours,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/2/2020 5:54:35,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,19 to 25,Punjab,Afternoon to Night (3 PM to 8 PM),3 to 5 Hours,PKR 10000,PKR 40000 to PKR 80000,Gamery (RGB and Aggressive Design)
1/2/2020 5:54:53,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,13 to 18,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/2/2020 5:55:27,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,19 to 25,Punjab,Night (8 PM to 10 PM),Less than 1 Hour,PKR 1000,PKR 40000 to PKR 80000,Gamery (RGB and Aggressive Design)
1/2/2020 5:56:18,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,13 to 18,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,Less than PKR 1000,PKR 40000 to PKR 80000,Gamery (RGB and Aggressive Design)
1/2/2020 5:57:37,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,19 to 25,Punjab,Noon (10 AM to 3 PM),3 to 5 Hours,PKR 20000,PKR 40000 to PKR 80000,Gamery (RGB and Aggressive Design)
1/2/2020 5:57:45,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Competitive,19 to 25,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/2/2020 5:57:50,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,Less than PKR 1000,PKR 40000 to PKR 80000,Gamery (RGB and Aggressive Design)
1/2/2020 5:58:53,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/2/2020 6:02:57,"Console (Playstation, XBOX, Nintendo, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Late Night (10 PM to 5 AM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/2/2020 6:03:18,"PC (Windows, Linux, Other)","Console (Playstation, XBOX, Nintendo, Other)",Competitive,13 to 18,Punjab,Afternoon to Night (3 PM to 8 PM),3 to 5 Hours,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/2/2020 6:08:38,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Afternoon to Night (3 PM to 8 PM),1 to 3 Hours,Less than PKR 1000,PKR 40000 to PKR 80000,Gamery (RGB and Aggressive Design)
1/2/2020 6:09:45,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,19 to 25,Punjab,Late Night (10 PM to 5 AM),3 to 5 Hours,PKR 10000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/2/2020 6:10:51,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,13 to 18,Punjab,Late Night (10 PM to 5 AM),1 to 3 Hours,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/2/2020 6:19:50,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,13 to 18,Punjab,Afternoon to Night (3 PM to 8 PM),3 to 5 Hours,PKR 10000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/2/2020 6:20:55,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,13 to 18,Punjab,Late Night (10 PM to 5 AM),1 to 3 Hours,PKR 1000,PKR 40000 to PKR 80000,Gamery (RGB and Aggressive Design)
1/2/2020 6:28:46,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,13 to 18,Punjab,Late Night (10 PM to 5 AM),Less than 1 Hour,PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/2/2020 7:04:42,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,13 to 18,Punjab,Afternoon to Night (3 PM to 8 PM),3 to 5 Hours,PKR 10000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/2/2020 7:19:03,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Competitive,19 to 25,Punjab,Late Night (10 PM to 5 AM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/2/2020 7:20:40,"Console (Playstation, XBOX, Nintendo, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,PKR 10000,PKR 40000 to PKR 80000,Minimalist (Clean and Simple)
1/2/2020 7:23:41,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,19 to 25,Punjab,Late Night (10 PM to 5 AM),1 to 3 Hours,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/2/2020 7:37:38,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Casual,13 to 18,Punjab,Afternoon to Night (3 PM to 8 PM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/2/2020 8:06:24,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,13 to 18,Punjab,Night (8 PM to 10 PM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/2/2020 9:05:16,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Noon (10 AM to 3 PM),1 to 3 Hours,Less than PKR 1000,More than PKR 100000,Gamery (RGB and Aggressive Design)
1/2/2020 9:55:09,"PC (Windows, Linux, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,19 to 25,Punjab,Afternoon to Night (3 PM to 8 PM),3 to 5 Hours,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/2/2020 9:58:20,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Competitive,19 to 25,Punjab,Late Night (10 PM to 5 AM),1 to 3 Hours,PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/2/2020 11:14:12,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,19 to 25,Punjab,Night (8 PM to 10 PM),Less than 1 Hour,PKR 10000,PKR 40000 to PKR 80000,Gamery (RGB and Aggressive Design)
1/2/2020 12:13:00,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Night (8 PM to 10 PM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/2/2020 12:34:54,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,19 to 25,Punjab,Late Night (10 PM to 5 AM),3 to 5 Hours,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/2/2020 13:11:29,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,19 to 25,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/2/2020 13:15:19,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Late Night (10 PM to 5 AM),1 to 3 Hours,Less than PKR 1000,PKR 40000 to PKR 80000,Gamery (RGB and Aggressive Design)
1/2/2020 23:35:49,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Late Night (10 PM to 5 AM),1 to 3 Hours,PKR 10000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/3/2020 0:47:07,"PC (Windows, Linux, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,19 to 25,Punjab,Late Night (10 PM to 5 AM),More than 8 Hours,PKR 20000,PKR 80000 to PKR 100000,
1/3/2020 2:27:46,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,13 to 18,Punjab,Afternoon to Night (3 PM to 8 PM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/3/2020 2:27:58,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Competitive,13 to 18,Punjab,Night (8 PM to 10 PM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/3/2020 2:30:05,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Afternoon to Night (3 PM to 8 PM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/3/2020 2:31:31,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Competitive,19 to 25,Punjab,Late Night (10 PM to 5 AM),1 to 3 Hours,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/3/2020 3:34:07,"PC (Windows, Linux, Other)","Console (Playstation, XBOX, Nintendo, Other)",Casual,13 to 18,Punjab,Night (8 PM to 10 PM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/3/2020 4:03:06,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,13 to 18,Punjab,Afternoon to Night (3 PM to 8 PM),Less than 1 Hour,Less than PKR 1000,,Minimalist (Clean and Simple)
1/3/2020 6:45:40,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,19 to 25,Punjab,Late Night (10 PM to 5 AM),1 to 3 Hours,PKR 5000,More than PKR 100000,Gamery (RGB and Aggressive Design)
