Timestamp,What platform do you currently use?,What platform do you prefer?,What type of games do you play?,What age group do you lie in?,Which region do you belong to?,What time do you usually play games at?,How long do you usually play everyday?,How much money do you usually spend on games per year?,How much have you spent on your gaming setup? (Not including games),Do you prefer minimalist or gamery aesthetics?
1/3/2020 7:45:33,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,PKR 10000,PKR 40000 to PKR 80000,Gamery (RGB and Aggressive Design)
1/3/2020 8:18:34,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Casual,13 to 18,Punjab,Afternoon to Night (3 PM to 8 PM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/3/2020 9:48:27,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Night (8 PM to 10 PM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/3/2020 10:39:43,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Late Night (10 PM to 5 AM),1 to 3 Hours,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/4/2020 1:22:48,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Competitive,19 to 25,Punjab,Night (8 PM to 10 PM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/4/2020 3:26:55,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Casual,19 to 25,Punjab,Noon (10 AM to 3 PM),1 to 3 Hours,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/7/2020 7:01:19,"PC (Windows, Linux, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,19 to 25,Punjab,Night (8 PM to 10 PM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/7/2020 7:04:38,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,13 to 18,Punjab,Afternoon to Night (3 PM to 8 PM),1 to 3 Hours,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/7/2020 7:04:49,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Casual,19 to 25,Balochistan,Late Night (10 PM to 5 AM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/7/2020 7:05:13,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,19 to 25,Punjab,Late Night (10 PM to 5 AM),1 to 3 Hours,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/7/2020 7:07:26,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,13 to 18,Punjab,Afternoon to Night (3 PM to 8 PM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/7/2020 7:07:58,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Competitive,19 to 25,Punjab,Night (8 PM to 10 PM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/7/2020 7:08:19,"PC (Windows, Linux, Other)","Console (Playstation, XBOX, Nintendo, Other)",Casual,19 to 25,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,,,Gamery (RGB and Aggressive Design)
1/7/2020 7:11:02,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Competitive,19 to 25,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,Less than PKR 1000,PKR 40000 to PKR 80000,Minimalist (Clean and Simple)
1/7/2020 7:11:16,"PC (Windows, Linux, Other)","Console (Playstation, XBOX, Nintendo, Other)",Competitive,13 to 18,Punjab,Late Night (10 PM to 5 AM),1 to 3 Hours,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/7/2020 7:18:19,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,13 to 18,Punjab,Night (8 PM to 10 PM),Less than 1 Hour,PKR 1000,Less than PKR 40000,
1/7/2020 7:22:37,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Casual,13 to 18,Punjab,Night (8 PM to 10 PM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/7/2020 7:26:08,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Casual,19 to 25,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,PKR 5000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/7/2020 7:30:26,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Afternoon to Night (3 PM to 8 PM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/7/2020 7:38:00,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,13 to 18,Punjab,Late Night (10 PM to 5 AM),5 to 8 Hours,PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/7/2020 7:43:15,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,PKR 10000,PKR 40000 to PKR 80000,Gamery (RGB and Aggressive Design)
1/7/2020 7:46:11,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Casual,19 to 25,Punjab,Afternoon to Night (3 PM to 8 PM),1 to 3 Hours,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/7/2020 7:52:32,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Night (8 PM to 10 PM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/7/2020 8:06:46,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,13 to 18,KPK,Night (8 PM to 10 PM),Less than 1 Hour,PKR 5000,PKR 80000 to PKR 100000,Gamery (RGB and Aggressive Design)
1/7/2020 8:07:54,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Afternoon to Night (3 PM to 8 PM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/7/2020 8:17:05,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,19 to 25,Punjab,Late Night (10 PM to 5 AM),1 to 3 Hours,More than PKR 20000,PKR 80000 to PKR 100000,Gamery (RGB and Aggressive Design)
1/7/2020 8:25:58,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Casual,13 to 18,Punjab,Afternoon to Night (3 PM to 8 PM),Less than 1 Hour,,,Minimalist (Clean and Simple)
1/7/2020 8:28:51,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Competitive,19 to 25,Punjab,Afternoon to Night (3 PM to 8 PM),1 to 3 Hours,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/7/2020 8:30:28,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,13 to 18,Punjab,Late Night (10 PM to 5 AM),1 to 3 Hours,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/7/2020 8:31:57,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,19 to 25,Punjab,Late Night (10 PM to 5 AM),1 to 3 Hours,More than PKR 20000,PKR 80000 to PKR 100000,Gamery (RGB and Aggressive Design)
1/7/2020 8:36:14,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,26 to 30,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,PKR 10000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/7/2020 8:49:24,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Competitive,13 to 18,Punjab,Afternoon to Night (3 PM to 8 PM),Less than 1 Hour,PKR 1000,PKR 80000 to PKR 100000,Gamery (RGB and Aggressive Design)
1/7/2020 8:54:21,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Competitive,19 to 25,Punjab,Night (8 PM to 10 PM),Less than 1 Hour,PKR 5000,Less than PKR 40000,Minimalist (Clean and Simple)
1/7/2020 9:05:16,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,KPK,Afternoon to Night (3 PM to 8 PM),3 to 5 Hours,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/7/2020 9:09:15,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Competitive,13 to 18,Punjab,Night (8 PM to 10 PM),3 to 5 Hours,PKR 5000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/7/2020 9:13:30,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Competitive,19 to 25,Punjab,Late Night (10 PM to 5 AM),1 to 3 Hours,PKR 1000,PKR 80000 to PKR 100000,Minimalist (Clean and Simple)
1/7/2020 9:25:39,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Competitive,19 to 25,Punjab,Noon (10 AM to 3 PM),5 to 8 Hours,More than PKR 20000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/7/2020 9:26:41,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,,1 to 3 Hours,PKR 5000,PKR 80000 to PKR 100000,Gamery (RGB and Aggressive Design)
1/7/2020 9:27:00,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Late Night (10 PM to 5 AM),3 to 5 Hours,PKR 20000,More than PKR 100000,Minimalist (Clean and Simple)
1/7/2020 9:37:16,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,26 to 30,KPK,Late Night (10 PM to 5 AM),1 to 3 Hours,PKR 5000,More than PKR 100000,Minimalist (Clean and Simple)
1/7/2020 9:41:44,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Night (8 PM to 10 PM),More than 8 Hours,PKR 5000,More than PKR 100000,Gamery (RGB and Aggressive Design)
1/7/2020 9:42:23,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Competitive,19 to 25,Punjab,Late Night (10 PM to 5 AM),5 to 8 Hours,PKR 10000,PKR 40000 to PKR 80000,Gamery (RGB and Aggressive Design)
1/7/2020 9:53:58,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Casual,26 to 30,Punjab,Late Night (10 PM to 5 AM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/7/2020 9:57:01,"Console (Playstation, XBOX, Nintendo, Other)","PC (Windows, Linux, Other)",Competitive,19 to 25,Punjab,Late Night (10 PM to 5 AM),Less than 1 Hour,PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/7/2020 10:11:35,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,13 to 18,Punjab,Late Night (10 PM to 5 AM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/7/2020 10:19:20,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Late Night (10 PM to 5 AM),5 to 8 Hours,Less than PKR 1000,PKR 40000 to PKR 80000,Minimalist (Clean and Simple)
1/7/2020 10:31:54,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Night (8 PM to 10 PM),More than 8 Hours,More than PKR 20000,More than PKR 100000,Gamery (RGB and Aggressive Design)
1/7/2020 11:55:29,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Competitive,13 to 18,Punjab,Late Night (10 PM to 5 AM),1 to 3 Hours,PKR 5000,PKR 40000 to PKR 80000,Minimalist (Clean and Simple)
1/7/2020 12:24:11,"PC (Windows, Linux, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,Above 50,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,More than PKR 20000,Less than PKR 40000,Minimalist (Clean and Simple)
1/7/2020 16:06:02,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,19 to 25,Punjab,Afternoon to Night (3 PM to 8 PM),1 to 3 Hours,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/7/2020 16:35:09,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Morning (5 AM to 10 AM),3 to 5 Hours,PKR 1000,PKR 40000 to PKR 80000,Gamery (RGB and Aggressive Design)
1/7/2020 18:13:52,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Competitive,19 to 25,Punjab,Night (8 PM to 10 PM),More than 8 Hours,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/7/2020 18:48:30,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Competitive,19 to 25,Punjab,Late Night (10 PM to 5 AM),5 to 8 Hours,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/7/2020 18:55:41,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,13 to 18,Federal Territory,Late Night (10 PM to 5 AM),More than 8 Hours,PKR 5000,PKR 40000 to PKR 80000,Minimalist (Clean and Simple)
1/7/2020 23:05:12,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Late Night (10 PM to 5 AM),3 to 5 Hours,More than PKR 20000,PKR 80000 to PKR 100000,Gamery (RGB and Aggressive Design)
1/7/2020 23:55:28,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Competitive,13 to 18,Punjab,Afternoon to Night (3 PM to 8 PM),5 to 8 Hours,PKR 20000,PKR 40000 to PKR 80000,Gamery (RGB and Aggressive Design)
1/8/2020 0:12:20,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Competitive,19 to 25,Punjab,Afternoon to Night (3 PM to 8 PM),1 to 3 Hours,Less than PKR 1000,PKR 40000 to PKR 80000,Minimalist (Clean and Simple)
1/8/2020 0:55:52,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Competitive,19 to 25,Punjab,Afternoon to Night (3 PM to 8 PM),3 to 5 Hours,PKR 5000,More than PKR 100000,Minimalist (Clean and Simple)
1/8/2020 2:11:58,"PC (Windows, Linux, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,19 to 25,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,PKR 10000,PKR 80000 to PKR 100000,Gamery (RGB and Aggressive Design)
1/8/2020 3:00:21,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,13 to 18,KPK,Late Night (10 PM to 5 AM),5 to 8 Hours,PKR 5000,More than PKR 100000,Gamery (RGB and Aggressive Design)
1/8/2020 4:33:16,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Casual,19 to 25,Punjab,Afternoon to Night (3 PM to 8 PM),Less than 1 Hour,,,Minimalist (Clean and Simple)
1/8/2020 5:06:44,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Late Night (10 PM to 5 AM),1 to 3 Hours,PKR 5000,More than PKR 100000,Gamery (RGB and Aggressive Design)
1/8/2020 5:19:00,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Late Night (10 PM to 5 AM),3 to 5 Hours,PKR 1000,PKR 80000 to PKR 100000,Gamery (RGB and Aggressive Design)
1/8/2020 9:04:51,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Competitive,13 to 18,Sindh,Afternoon to Night (3 PM to 8 PM),More than 8 Hours,More than PKR 20000,More than PKR 100000,Gamery (RGB and Aggressive Design)
1/8/2020 9:33:31,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Sindh,Late Night (10 PM to 5 AM),5 to 8 Hours,PKR 5000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/8/2020 18:06:39,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Competitive,19 to 25,KPK,Late Night (10 PM to 5 AM),3 to 5 Hours,PKR 5000,PKR 40000 to PKR 80000,Gamery (RGB and Aggressive Design)
1/9/2020 8:30:04,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,13 to 18,Federal Territory,Afternoon to Night (3 PM to 8 PM),3 to 5 Hours,PKR 5000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/8/2020 0:55:52,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Competitive,19 to 25,Punjab,Afternoon to Night (3 PM to 8 PM),3 to 5 Hours,PKR 5000,More than PKR 100000,Minimalist (Clean and Simple)
1/7/2020 10:31:54,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Night (8 PM to 10 PM),More than 8 Hours,More than PKR 20000,More than PKR 100000,Gamery (RGB and Aggressive Design)
1/7/2020 9:26:41,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,,1 to 3 Hours,PKR 5000,PKR 80000 to PKR 100000,Gamery (RGB and Aggressive Design)
1/7/2020 8:31:57,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,19 to 25,Punjab,Late Night (10 PM to 5 AM),1 to 3 Hours,More than PKR 20000,PKR 80000 to PKR 100000,Gamery (RGB and Aggressive Design)
1/3/2020 4:03:06,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,13 to 18,Punjab,Afternoon to Night (3 PM to 8 PM),Less than 1 Hour,Less than PKR 1000,,Minimalist (Clean and Simple)
1/2/2020 5:57:37,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,19 to 25,Punjab,Noon (10 AM to 3 PM),3 to 5 Hours,PKR 20000,PKR 40000 to PKR 80000,Gamery (RGB and Aggressive Design)
1/2/2020 5:27:26,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,13 to 18,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,Less than PKR 1000,PKR 40000 to PKR 80000,Gamery (RGB and Aggressive Design)
1/2/2020 5:51:03,"PC (Windows, Linux, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,13 to 18,Punjab,,Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
12/18/2019 7:48:51,"PC (Windows, Linux, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,13 to 18,Punjab,Afternoon to Night (3 PM to 8 PM),1 to 3 Hours,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/7/2020 7:30:26,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Afternoon to Night (3 PM to 8 PM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/7/2020 9:42:23,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Competitive,19 to 25,Punjab,Late Night (10 PM to 5 AM),5 to 8 Hours,PKR 10000,PKR 40000 to PKR 80000,Gamery (RGB and Aggressive Design)
1/2/2020 5:43:12,"PC (Windows, Linux, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,19 to 25,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,PKR 20000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/8/2020 0:55:52,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Competitive,19 to 25,Punjab,Afternoon to Night (3 PM to 8 PM),3 to 5 Hours,PKR 5000,More than PKR 100000,Minimalist (Clean and Simple)
1/7/2020 10:31:54,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Night (8 PM to 10 PM),More than 8 Hours,More than PKR 20000,More than PKR 100000,Gamery (RGB and Aggressive Design)
1/8/2020 3:00:21,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,13 to 18,KPK,Late Night (10 PM to 5 AM),5 to 8 Hours,PKR 5000,More than PKR 100000,Gamery (RGB and Aggressive Design)
12/18/2019 9:52:23,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Late Night (10 PM to 5 AM),Less than 1 Hour,PKR 10000,More than PKR 100000,Gamery (RGB and Aggressive Design)
12/18/2019 6:52:18,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Casual,19 to 25,Punjab,Late Night (10 PM to 5 AM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
12/18/2019 7:44:53,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)